job_title,ai_impact,task_count,ai_model,ai_workload_ratio,domain_area
Implementation Analyst,70%,178,1156,0.1539792388,Communication & PR
Medical Billing Specialist,70%,124,827,0.1499395405,Data & IT
Medical Collector,70%,10,52,0.1923076923,Administrative & Clerical
Postal Clerk,70%,10,52,0.1923076923,Leadership & Strategy
Distribution Clerk,70%,10,52,0.1923076923,Medical & Healthcare
Purchasing Buyer,70%,164,1427,0.1149264191,Supply Chain & Logistics
Qa Software Tester,70%,127,918,0.1383442266,Law Enforcement
Application Developer,70%,151,1045,0.1444976077,Construction
Entry Level Developer,70%,151,1033,0.1461761859,Sales & Marketing
Front End Developer,70%,159,1104,0.1440217391,Hospitality
Front End Engineer,70%,158,1093,0.1445562672,Communication & PR
Front End Web Developer,70%,159,1055,0.1507109005,Data & IT
Full Stack Developer,70%,154,1044,0.1475095785,Administrative & Clerical
J2Ee Developer,70%,141,983,0.1434384537,Leadership & Strategy
Robotics Engineer,70%,111,804,0.1380597015,Medical & Healthcare
Appointment Scheduler,70%,165,1212,0.1361386139,Supply Chain & Logistics
Desk Clerk,70%,120,765,0.1568627451,Law Enforcement
Document Processor,70%,178,1448,0.1229281768,Construction
Mailroom Clerk,70%,135,1205,0.112033195,Sales & Marketing
Office Cleaner,70%,64,386,0.1658031088,Hospitality
Receiving Clerk,70%,149,1307,0.1140015302,Communication & PR
Radiologic Technologist,70%,75,549,0.1366120219,Data & IT
Radiology Technologist,70%,75,549,0.1366120219,Administrative & Clerical
Ultrasound Technician,70%,76,566,0.1342756184,Leadership & Strategy
Ultrasound Technologist,70%,76,566,0.1342756184,Medical & Healthcare
Electrical Technician,70%,6,45,0.1333333333,Supply Chain & Logistics
Flooring Installer,70%,1,2,0.5,Law Enforcement
Technical Marketing Engineer,70%,244,1576,0.154822335,Construction
Web Content Editor,70%,234,1986,0.1178247734,Sales & Marketing
Engineering Project Manager,70%,176,1446,0.1217150761,Hospitality
Infrastructure Project Manager,70%,176,1448,0.1215469613,Communication & PR
Sap Project Manager,70%,10,52,0.1923076923,Data & IT
Software Product Manager,70%,181,1472,0.1229619565,Administrative & Clerical
Technical Product Manager,70%,183,1474,0.1241519674,Leadership & Strategy
Cashier,70%,97,703,0.1379800853,Medical & Healthcare
Mystery Shopper,70%,99,671,0.1475409836,Supply Chain & Logistics
Infrastructure Architect,70%,148,1304,0.1134969325,Law Enforcement
Actuary,70%,131,1251,0.104716227,Construction
Arabic Linguist,70%,113,859,0.131548312,Sales & Marketing
Game Programmer,70%,152,1318,0.1153262519,Hospitality
Mortgage Loan Processor,70%,146,1322,0.1104387292,Communication & PR
Computational Linguist,70%,139,912,0.1524122807,Data & IT
Bank Teller,70%,113,824,0.1371359223,Administrative & Clerical
Credit Analyst,70%,169,1398,0.1208869814,Leadership & Strategy
Credit Officer,70%,174,1452,0.1198347107,Medical & Healthcare
Credit Risk Analyst,70%,171,1119,0.1528150134,Supply Chain & Logistics
Credit Specialist,70%,170,1394,0.1219512195,Law Enforcement
Financial Analyst,70%,172,1125,0.1528888889,Construction
Financial Specialist,70%,174,1127,0.1543921917,Sales & Marketing
Fund Accountant,70%,130,874,0.1487414188,Hospitality
Payment Processor,70%,149,1316,0.1132218845,Communication & PR
Payroll Processor,70%,145,1302,0.1113671275,Data & IT
Tax Examiner,70%,134,896,0.1495535714,Administrative & Clerical
Clinical Trial Assistant,70%,136,886,0.1534988713,Leadership & Strategy
Cad Drafter,68%,125,948,0.1318565401,Medical & Healthcare
Business Manager,68%,164,1072,0.1529850746,Supply Chain & Logistics
Inpatient Coder,68%,117,752,0.1555851064,Law Enforcement
Assistant Branch Manager,67%,130,861,0.1509872242,Construction
Front Desk Attendant,67%,126,886,0.1422121896,Sales & Marketing
Front Office Clerk,67%,129,926,0.1393088553,Hospitality
Administrative Officer,65%,133,865,0.1537572254,Communication & PR
Administrative Specialist,65%,134,866,0.1547344111,Data & IT
Branch Office Administrator,65%,130,828,0.1570048309,Administrative & Clerical
Help Desk,65%,133,1047,0.1270296084,Leadership & Strategy
Order Processor,65%,129,927,0.1391585761,Medical & Healthcare
Title Clerk,65%,107,704,0.1519886364,Supply Chain & Logistics
Warranty Clerk,65%,116,816,0.1421568627,Law Enforcement
Crm Analyst,65%,164,1081,0.1517113784,Construction
Sales Operations Analyst,65%,157,1053,0.1490978158,Sales & Marketing
Freelance,65%,182,1206,0.1509121061,Hospitality
Technology,65%,160,1099,0.1455868972,Communication & PR
Analog Design Engineer,65%,134,913,0.1467688938,Data & IT
Automation Engineer,65%,141,937,0.1504802561,Administrative & Clerical
Medical Claims Processor,65%,140,836,0.1674641148,Leadership & Strategy
Logistics Clerk,65%,124,1005,0.1233830846,Medical & Healthcare
Shipping,65%,107,711,0.1504922644,Supply Chain & Logistics
Executive Producer,65%,182,1302,0.1397849462,Law Enforcement
.Net Developer,65%,248,1734,0.1430219146,Construction
Abap Developer,65%,242,1696,0.1426886792,Sales & Marketing
Asp.Net Developer,65%,245,1752,0.1398401826,Hospitality
Associate Software Engineer,65%,245,1753,0.1397604107,Communication & PR
C Developer,65%,242,1743,0.1388410786,Data & IT
C# Developer,65%,248,1731,0.1432697863,Administrative & Clerical
Dot Net Developer,65%,249,1735,0.1435158501,Leadership & Strategy
Firmware Engineer,65%,238,1635,0.1455657492,Medical & Healthcare
Bookkeeper,65%,141,911,0.1547749726,Supply Chain & Logistics
Bookkeeping,65%,139,914,0.1520787746,Law Enforcement
Commercial Analyst,65%,157,1039,0.1511068335,Construction
Commission Analyst,65%,159,1061,0.1498586239,Sales & Marketing
Corporate Financial Analyst,65%,162,1056,0.1534090909,Hospitality
Cost Accountant,65%,158,1067,0.1480787254,Communication & PR
Derivatives Analyst,65%,161,1059,0.1520302172,Data & IT
Energy Analyst,65%,164,1066,0.1538461538,Administrative & Clerical
Environmental Analyst,65%,164,1067,0.1537019681,Leadership & Strategy
Equity Analyst,65%,162,1066,0.1519699812,Medical & Healthcare
Equity Research Analyst,65%,162,1066,0.1519699812,Supply Chain & Logistics
Equity Research Associate,65%,163,1067,0.152764761,Law Enforcement
Finance Analyst,65%,168,1242,0.1352657005,Construction
Finance Specialist,65%,160,1218,0.13136289,Sales & Marketing
Financial Auditor,65%,154,983,0.1566632757,Hospitality
Forensic Accountant,65%,157,996,0.1576305221,Communication & PR
Certified Professional Coder,65%,129,798,0.1616541353,Data & IT
Junior Java Developer,65%,247,1714,0.1441073512,Administrative & Clerical
Junior Software Engineer,65%,243,1716,0.1416083916,Leadership & Strategy
Operations Research Analyst,65%,174,1119,0.1554959786,Medical & Healthcare
Rpg Programmer,65%,217,1279,0.1696637998,Supply Chain & Logistics
Clinical Data Analyst,65%,220,1369,0.1607012418,Law Enforcement
Database Administrator,65%,241,1372,0.1756559767,Construction
Healthcare Data Analyst,65%,230,1609,0.1429459291,Sales & Marketing
Mainframe Programmer,65%,226,1354,0.1669128508,Hospitality
Oracle Database Developer,65%,242,1424,0.1699438202,Communication & PR
Sql Data Analyst,65%,250,1459,0.1713502399,Data & IT
Armored Truck Driver,65%,28,227,0.1233480176,Administrative & Clerical
Correctional Officer,65%,37,280,0.1321428571,Leadership & Strategy
Deputy Director,65%,122,829,0.1471652593,Medical & Healthcare
Forensic Chemist,65%,54,423,0.1276595745,Supply Chain & Logistics
Safety Consultant,65%,73,765,0.0954248366,Law Enforcement
Security Dispatcher,65%,84,774,0.1085271318,Construction
Cad Operator,65%,123,921,0.1335504886,Sales & Marketing
Cad Technician,65%,124,922,0.1344902386,Hospitality
Game Artist,65%,190,1453,0.1307639367,Communication & PR
Radiology Assistant,65%,68,480,0.1416666667,Data & IT
Sonographer,65%,57,412,0.1383495146,Administrative & Clerical
Ultrasonographer,65%,59,438,0.1347031963,Leadership & Strategy
Vascular Sonographer,65%,57,434,0.1313364055,Medical & Healthcare
Vascular Technician,65%,57,434,0.1313364055,Supply Chain & Logistics
Vascular Technologist,65%,57,434,0.1313364055,Law Enforcement
X Ray Technician,65%,59,437,0.1350114416,Construction
Cleaner,65%,6,27,0.2222222222,Sales & Marketing
Hospital Housekeeping,65%,8,33,0.2424242424,Hospitality
Assembly Operator,65%,59,495,0.1191919192,Communication & PR
Electronic Assembler,65%,59,497,0.1187122736,Data & IT
Line Operator,65%,58,488,0.118852459,Administrative & Clerical
Survey Researcher,65%,165,1079,0.1529193698,Leadership & Strategy
Web Content Manager,65%,322,2266,0.1421006178,Medical & Healthcare
Electrical Drafter,65%,123,920,0.1336956522,Supply Chain & Logistics
Structural Designer,65%,130,965,0.1347150259,Law Enforcement
Medical Biller,65%,137,832,0.1646634615,Construction
Sales Associate,65%,169,1197,0.1411862991,Sales & Marketing
Business Banking Relationship Manager,65%,166,1126,0.1474245115,Hospitality
Janitor,65%,9,138,0.0652173913,Communication & PR
Autocad Drafter,65%,162,1598,0.1013767209,Data & IT
Assistant Director,65%,135,989,0.1365015167,Administrative & Clerical
Executive Personal Assistant,65%,128,1018,0.1257367387,Leadership & Strategy
Pricing Specialist,65%,164,1163,0.1410146174,Medical & Healthcare
Ticket Agent,64%,93,834,0.1115107914,Supply Chain & Logistics
Contract Specialist,63%,162,1161,0.1395348837,Law Enforcement
Freelancer,63%,120,974,0.1232032854,Construction
Requirements Analyst,62%,180,1595,0.1128526646,Sales & Marketing
Seo Consultant,61%,166,1338,0.1240657698,Hospitality
Seo Manager,60%,166,1334,0.1244377811,Communication & PR
Seo Specialist,60%,168,1356,0.1238938053,Data & IT
Creative Project Manager,60%,169,1604,0.105361596,Administrative & Clerical
Erp Project Manager,60%,162,1497,0.1082164329,Leadership & Strategy
Healthcare Project Manager,60%,169,1539,0.109811566,Medical & Healthcare
Product Manager,60%,195,1732,0.1125866051,Supply Chain & Logistics
Project Consultant,60%,183,1636,0.1118581907,Law Enforcement
Project Manager,60%,190,1686,0.1126927639,Construction
Customer Assistant,60%,167,1340,0.1246268657,Sales & Marketing
Drafter,60%,165,1622,0.1017262639,Hospitality
Junior Architect,60%,148,1581,0.0936116382,Communication & PR
Space Planner,60%,162,1553,0.1043142305,Data & IT
Truss Designer,60%,160,1521,0.1051939513,Administrative & Clerical
Urban Planner,60%,164,1559,0.1051956382,Leadership & Strategy
Insurance Sales,60%,135,1031,0.1309408341,Medical & Healthcare
Insurance Sales Representative,60%,135,1031,0.1309408341,Supply Chain & Logistics
Life Insurance Agent,60%,133,1025,0.1297560976,Law Enforcement
Java Software Engineer,60%,110,796,0.1381909548,Construction
Java Web Developer,60%,110,796,0.1381909548,Sales & Marketing
Junior Developer,60%,114,810,0.1407407407,Hospitality
Performance Analyst,60%,176,1339,0.1314413742,Communication & PR
Risk Management Analyst,60%,197,1658,0.1188178528,Data & IT
Salesforce Business Analyst,60%,208,1694,0.1227863046,Administrative & Clerical
Data Analyst,60%,217,1405,0.1544483986,Leadership & Strategy
Database Architect,60%,170,1564,0.1086956522,Medical & Healthcare
Health Data Analyst,60%,206,1372,0.1501457726,Supply Chain & Logistics
Sql Dba,60%,147,1447,0.1015894955,Law Enforcement
Sql Server Dba,60%,148,1455,0.1017182131,Construction
Shipping Clerk,60%,141,1102,0.1279491833,Sales & Marketing
Timekeeper,60%,97,843,0.1150652432,Hospitality
Administration,60%,108,879,0.1228668942,Communication & PR
Administrative Director,60%,120,937,0.1280683031,Data & IT
Assistant Administrator,60%,119,926,0.1285097192,Administrative & Clerical
Compliance Analyst,60%,187,1309,0.1428571429,Leadership & Strategy
Front Desk Coordinator,60%,105,855,0.1228070175,Medical & Healthcare
Office Clerk,60%,98,822,0.1192214112,Supply Chain & Logistics
Operations Clerk,60%,108,890,0.1213483146,Law Enforcement
Procurement Clerk,60%,115,907,0.1267916207,Construction
Receiver,60%,50,311,0.1607717042,Sales & Marketing
Registration Clerk,60%,85,710,0.1197183099,Hospitality
Registration Specialist,60%,90,756,0.119047619,Communication & PR
Unit Secretary,60%,96,834,0.1151079137,Data & IT
Healthcare Business Analyst,60%,206,1671,0.1232794734,Administrative & Clerical
Surgery Scheduler,60%,81,815,0.09938650307,Leadership & Strategy
Post Office,60%,73,516,0.1414728682,Medical & Healthcare
Demand Planner,60%,154,1120,0.1375,Supply Chain & Logistics
Logistics Coordinator,60%,158,1201,0.1315570358,Law Enforcement
Procurement Agent,60%,156,1123,0.1389136242,Construction
Purchasing Coordinator,60%,158,1201,0.1315570358,Sales & Marketing
Shipping Coordinator,60%,160,1175,0.1361702128,Hospitality
Supply Chain Coordinator,60%,157,1200,0.1308333333,Communication & PR
Supply Coordinator,60%,156,1196,0.1304347826,Data & IT
Assignment Editor,60%,148,1187,0.1246840775,Administrative & Clerical
Front Desk Agent,60%,108,878,0.1230068337,Leadership & Strategy
Radio Operator,60%,124,890,0.1393258427,Medical & Healthcare
Manual Qa Tester,60%,121,1053,0.1149097816,Supply Chain & Logistics
Manual Tester,60%,121,1016,0.1190944882,Law Enforcement
Coldfusion Developer,60%,108,735,0.1469387755,Construction
Computer Scientist,60%,118,779,0.1514762516,Sales & Marketing
Drupal Developer,60%,108,776,0.1391752577,Hospitality
Java,60%,103,740,0.1391891892,Communication & PR
Java Developer,60%,109,769,0.1417425228,Data & IT
Java Engineer,60%,110,796,0.1381909548,Administrative & Clerical
Java Programmer,60%,110,796,0.1381909548,Leadership & Strategy
Java Software Developer,60%,110,796,0.1381909548,Medical & Healthcare
Home Inspector,60%,69,521,0.13243762,Supply Chain & Logistics
Biomedical Engineer,60%,102,732,0.1393442623,Law Enforcement
Biotechnology,60%,97,694,0.1397694524,Construction
Environmental Engineer,60%,115,757,0.1519154557,Sales & Marketing
Industrial Organizational Psychologist,60%,90,685,0.1313868613,Hospitality
Accounts Payable,60%,154,1154,0.1334488735,Communication & PR
Auditor,60%,162,1260,0.1285714286,Data & IT
Budget Analyst,60%,165,1165,0.1416309013,Administrative & Clerical
Collection Agent,60%,173,1283,0.1348402182,Leadership & Strategy
Collection Representative,60%,181,1646,0.109963548,Medical & Healthcare
Collection Specialist,60%,184,1663,0.1106434155,Supply Chain & Logistics
Collections Specialist,60%,184,1663,0.1106434155,Law Enforcement
Compliance Auditor,60%,190,1329,0.1429646351,Construction
Cost Controller,60%,195,1655,0.1178247734,Sales & Marketing
Credit Controller,60%,192,1647,0.116575592,Hospitality
Debt Collector,60%,182,1357,0.134119381,Communication & PR
Exchange Engineer,60%,149,1158,0.1286701209,Data & IT
Financial Engineer,60%,192,1635,0.1174311927,Administrative & Clerical
Financial Examiner,60%,192,1325,0.1449056604,Leadership & Strategy
Loan Closer,60%,178,1593,0.1117388575,Medical & Healthcare
Mortgage Closer,60%,149,1193,0.1248952221,Supply Chain & Logistics
Mortgage Loan Closer,60%,149,1193,0.1248952221,Law Enforcement
Processor,60%,131,1133,0.1156222418,Construction
Trader,60%,161,1479,0.108857336,Sales & Marketing
Treasury Accountant,60%,183,1563,0.1170825336,Hospitality
Clinical Analyst,60%,201,1666,0.1206482593,Communication & PR
Meter Reader,60%,28,240,0.1166666667,Data & IT
Gas Station Attendant,60%,28,239,0.1171548117,Administrative & Clerical
Lactation Consultant,60%,72,540,0.1333333333,Leadership & Strategy
Ticket Taker,60%,54,349,0.1547277937,Medical & Healthcare
Usher,60%,52,355,0.1464788732,Supply Chain & Logistics
911 Dispatcher,60%,133,1008,0.1319444444,Law Enforcement
911 Operator,60%,133,1007,0.1320754717,Construction
Fingerprint Technician,60%,116,1076,0.1078066914,Sales & Marketing
Forensic Examiner,60%,125,1385,0.09025270758,Hospitality
Forensic Scientist,60%,129,1396,0.09240687679,Communication & PR
Intelligence,60%,148,1439,0.1028492008,Data & IT
Military Analyst,60%,168,1517,0.1107448912,Administrative & Clerical
Safety Coordinator,60%,1,2,0.5,Leadership & Strategy
Security Technician,60%,117,854,0.1370023419,Medical & Healthcare
Skip Tracer,60%,103,745,0.1382550336,Supply Chain & Logistics
Information Analyst,60%,155,1192,0.130033557,Law Enforcement
Information Specialist,60%,153,1186,0.129005059,Construction
Network Systems Administrator,60%,126,1371,0.09190371991,Sales & Marketing
Senior Systems Engineer,60%,129,1344,0.09598214286,Hospitality
Software Engineer,60%,133,1342,0.09910581222,Communication & PR
Systems Administrator,60%,132,1398,0.09442060086,Data & IT
Systems Analyst,60%,168,1558,0.107830552,Administrative & Clerical
Unix Administrator,60%,125,1355,0.09225092251,Leadership & Strategy
Unix System Administrator,60%,121,1340,0.09029850746,Medical & Healthcare
Vmware Administrator,60%,125,1355,0.09225092251,Supply Chain & Logistics
Windows Administrator,60%,121,812,0.1490147783,Law Enforcement
Windows System Administrator,60%,121,812,0.1490147783,Construction
Registered Dental Assistant,60%,42,360,0.1166666667,Sales & Marketing
Registered Medical Assistant,60%,43,364,0.1181318681,Hospitality
Surgical Assistant,60%,44,375,0.1173333333,Communication & PR
Carpet Cleaner,60%,6,133,0.04511278195,Data & IT
Custodian,60%,8,151,0.05298013245,Administrative & Clerical
General Laborer,60%,9,138,0.0652173913,Leadership & Strategy
Housekeeping Attendant,60%,9,138,0.0652173913,Medical & Healthcare
Assembly Line Worker,60%,39,315,0.1238095238,Supply Chain & Logistics
Assembly Worker,60%,37,303,0.1221122112,Law Enforcement
Forklift,60%,22,166,0.1325301205,Construction
Master Control Operator,60%,120,1201,0.09991673605,Sales & Marketing
Curriculum Designer,60%,170,1325,0.1283018868,Hospitality
Curriculum Specialist,60%,164,1213,0.1352019786,Communication & PR
Epic Trainer,60%,109,900,0.1211111111,Data & IT
Virtual Teacher,60%,121,1037,0.1166827387,Administrative & Clerical
3D Modeler,60%,204,1735,0.1175792507,Leadership & Strategy
Compositor,60%,193,1696,0.1137971698,Medical & Healthcare
Fx Artist,60%,190,1638,0.115995116,Supply Chain & Logistics
Game Developer,60%,211,1781,0.1184727681,Law Enforcement
Accessioner,60%,46,410,0.112195122,Construction
Autopsy Assistant,60%,37,347,0.1066282421,Sales & Marketing
Certified Surgical Technologist,60%,43,378,0.1137566138,Hospitality
